,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD14B,2356.4974944351616,-0.6717659427884008,0.302433830485577,-3.2265822971475786,0.0012527819911641262,0.006002490940989813
ABHD15,542.6900731331497,-1.6187530773085025e-06,0.0012065163867624462,-0.6410627732967926,0.5214818994526521,0.6676012935698431
ABHD16A,916.1805201178172,-0.3375160389526613,0.12145789979492613,-3.6596418478860073,0.00025256800448534346,0.0015219151714254639
ABHD16B,105.95658541086503,8.098654883468945e-06,0.001137989652297101,2.0394259276945412,0.041407536925044744,0.10634730246624502
ABHD17A,2875.982553272741,-0.4540648098205047,0.15141980552835596,-3.8061076880084803,0.00014117093467549472,0.0009177479573571108
ABHD17AP1,2.013877516096383,-4.910783951450375e-07,0.001290430439628783,-0.6687220192720478,0.5036728186924158,0.6525171537567868
ABHD17AP3,1.1914808481903885,-1.5820629228356721e-06,0.0012745749158172973,-1.6178925968850666,0.10568574599736373,
ABHD17AP4,2.567607694144888,-3.289018234422208,0.8640145563818645,-4.26918026735857,1.9619266265686274e-05,0.00016048065134933458
ABHD17AP5,0.6393650143526329,5.867823301629691e-07,0.0010814561166001425,0.8547059683512289,0.39271394559867234,
ABHD17AP6,1.1489224522763393,-3.0999375600426e-07,0.0011994094234328194,-0.34711996053631655,0.7285011984071745,
ABHD17AP7,0.0,,,,,
ABHD17AP8,0.0,,,,,
ABHD17AP9,0.0,,,,,
ABHD17B,692.5681086587214,-5.786557035130062e-06,0.0011938882020664486,-0.9204902290591567,0.35731663672507985,0.514206684631055
ABHD17C,726.0052345731841,4.189742780373739e-06,0.0011240639434512264,1.606339888550289,0.10819925062746613,0.21974149102593438
ABHD18,238.61124499858417,-0.4122149724853685,0.19291482570934138,-3.225447237381256,0.001257760169853542,0.006022039527834836
ABHD2,6009.2028067977335,3.7768580038217897e-06,0.001102321234291164,2.090858414715421,0.036540757840324706,0.09682265883286671
ABHD3,446.8513885443237,-2.181401805998767e-06,0.0012603608466253333,-1.1192396580719803,0.2630379108661569,0.4150980563686755
ABHD4,820.519441055406,-1.3203276914597901,0.20020248070093127,-6.938879147399993,3.952230417509113e-12,1.278057276813156e-10
ABHD5,501.86538065974474,4.0915771609877565e-06,0.0011134627685772806,2.0248850522915576,0.04287916883493666,0.10924276148776642
ABHD6,833.5663297985934,-1.9001524529084874,0.2795100710977838,-7.1020534478705075,1.2291667253198911e-12,4.3298528043930456e-11
ABHD8,257.46309899708325,2.211224177661127e-06,0.001150960248478629,0.8079833304070072,0.4191001783659015,0.5759268310051134
ABI1,2504.574507988203,-1.0156839310617562e-05,0.001254397741922563,-2.3605977917072996,0.01824550708903763,0.056131864421673734
ABI2,3091.570753747737,0.3546543117792553,0.08448863234466275,4.856097014298295,1.1972206259333891e-06,1.3536197678484647e-05
ABI3,1.096941068100377,2.341143076988256e-07,0.0011292679970162102,0.42396257675946397,0.6715931060227077,
ABI3BP,29.65640664203583,1.5025121715986768e-06,0.0010930031067599864,1.4896692191576875,0.13631123184459754,0.25981256430081723
ABL1,4617.831482198987,-1.2325475331978265e-06,0.00122047946957233,-0.644945038430048,0.5189628036011675,0.6652063364538544
ABL2,4733.927705469084,-0.7967976950416419,0.31480044133111584,-3.419195372723647,0.0006280661331493145,0.0033253282974902115
ABLIM1,440.8168954794226,1.9058029291270762,0.2819443115477404,7.246532024998761,4.2757811596815717e-13,1.610544236813392e-11
ABLIM2,2.346636398989997,-1.8498329218293494e-06,0.0013724086191714876,-1.72307961407917,0.0848741288049429,0.1832304633232394
ABLIM3,2093.1643302046405,1.590059229306815e-06,0.0011294252776936095,1.402946300277177,0.16063285272557448,0.2921838668585825
ABO,6.190394855568468,3.267565971138235e-06,0.001131267696486431,1.807177135309353,0.0707346647835253,0.15967733838435078
ABR,10580.765021199384,-1.3053634744590392,0.3310972772211326,-4.499656878977268,6.806323436888801e-06,6.376450377716877e-05
ABRA,0.9720237654681804,4.814509454153442e-07,0.0011532753966886436,0.42777990664725224,0.6688113672527225,
ABRACL,1129.6878082803944,-4.203781030207268e-06,0.0012356626224270771,-1.3528778873581853,0.17609464477371473,0.3125081776053024
ABT1,1063.9233162104508,4.486300625282103e-06,0.0011306106818182258,1.618180396311024,0.10562372633928101,0.2160377904808113
ABT1P1,0.0,,,,,
ABTB1,619.3914852365295,-1.2575649853615187,0.2607608734382703,-5.290505613839469,1.2197867770728202e-07,1.7575065353898787e-06
ABTB2,1288.4324051410276,1.6475815634858005e-06,0.0011661965429907602,0.5132499950918511,0.6077764579568038,0.7369227517460127
AC000041.10,0.0,,,,,
AC000041.8,0.0,,,,,
AC000077.2,0.07935292581109671,8.559233916317142e-08,0.0010952793455312328,0.02874301707429435,0.9770695478633209,
